NewVehicleRef,Timestamp_x,segment_id,BusLane_x,DayOfWeek_x,Holiday_x,HalfHourly,timeinseconds,intersections_x,busstops_x,AvgSpeed
MTA NYCT_3828_1,2018-04-21 17:32:06.404000-04:00,1,False,6,1,3,63126,11,4,2.29779874214
MTA NYCT_3828_1,2018-04-27 18:38:40.371000-04:00,1,True,5,0,5,67120,11,4,3.01306878307
MTA NYCT_3828_1,2018-05-01 17:02:12.294000-04:00,1,True,2,0,2,61332,11,4,2.94126696833
MTA NYCT_3828_1,2018-04-21 17:37:56.484000-04:00,2,False,6,1,3,63476,15,5,1.00589242054
MTA NYCT_3828_1,2018-04-27 18:42:20.961000-04:00,2,True,5,0,5,67340,15,5,2.84813380282
MTA NYCT_3828_1,2018-05-01 17:06:24.519000-04:00,2,True,2,0,2,61584,15,5,2.84982905983
MTA NYCT_3828_1,2018-04-26 16:00:23.536000-04:00,3,True,4,0,0,57623,16,6,1.78370967742
MTA NYCT_3828_1,2018-04-27 18:47:38.175000-04:00,3,True,5,0,5,67658,16,6,2.17932608696
MTA NYCT_3828_1,2018-05-01 17:12:46.744000-04:00,3,True,2,0,2,61966,16,6,1.56343032159
MTA NYCT_3828_1,2018-04-13 16:04:11.916000-04:00,4,True,5,0,0,57851,9,1,3.75375
MTA NYCT_3828_1,2018-04-26 16:01:56.868000-04:00,4,True,4,0,0,57716,9,1,2.98242105263
MTA NYCT_3828_1,2018-04-27 18:55:49.931000-04:00,4,True,5,0,5,68149,9,1,1.62231638418
MTA NYCT_3828_1,2018-05-01 17:24:13.029000-04:00,4,True,2,0,2,62653,9,1,1.51077889447
MTA NYCT_3828_1,2018-04-13 16:05:47.196000-04:00,5,True,5,0,0,57947,8,3,1.73
MTA NYCT_3828_1,2018-04-26 16:06:14.374000-04:00,5,True,4,0,0,57974,8,3,2.13475555556
MTA NYCT_3828_1,2018-04-27 19:02:16.600000-04:00,5,False,5,0,6,68536,8,3,1.41365853659
MTA NYCT_3828_1,2018-05-01 17:31:55.364000-04:00,5,True,2,0,3,63115,8,3,2.20263157895
MTA NYCT_3828_1,2018-04-13 16:10:32.280000-04:00,6,True,5,0,0,58232,9,3,3.39863157895
MTA NYCT_3828_1,2018-04-26 16:10:31.887000-04:00,6,True,4,0,0,58231,9,3,1.941625
MTA NYCT_3828_1,2018-04-27 19:07:36.156000-04:00,6,False,5,0,6,68856,9,3,2.01990825688
MTA NYCT_3828_1,2018-05-01 17:36:14.959000-04:00,6,True,2,0,3,63374,9,3,1.48414012739
MTA NYCT_3829_1,2018-04-13 17:06:55.894000-04:00,1,True,5,0,2,61615,11,4,2.22712025316
MTA NYCT_3829_1,2018-04-19 16:26:32.218000-04:00,1,True,4,0,0,59192,11,4,2.34993670886
MTA NYCT_3829_1,2018-04-20 16:04:24.683000-04:00,1,True,5,0,0,57864,11,4,1.28299823633
MTA NYCT_3829_1,2018-04-21 17:00:51.923000-04:00,1,False,6,1,2,61251,11,4,2.52772727273
MTA NYCT_3829_1,2018-04-24 16:46:07.449000-04:00,1,True,2,0,1,60367,11,4,3.45959821429
MTA NYCT_3829_1,2018-04-26 16:03:38.014000-04:00,1,True,4,0,0,57818,11,4,2.1586167147
