,NewVehicleRef,Timestamp_x,segment_id,BusLane_x,DayOfWeek_x,Holiday_x,HalfHourly,timeinseconds,intersections,busstops,AvgSpeed
0,MTA NYCT_3829_1,2018-04-08 16:00:17.604000-04:00,2,False,7,1,0,57617,15,5,2.44565853659
1,MTA NYCT_3829_2,2018-04-08 19:15:25.935000-04:00,2,False,7,1,6,69325,15,5,2.26733780761
2,MTA NYCT_3830_1,2018-04-10 17:20:23.458000-04:00,2,True,2,0,2,62423,15,5,2.28071748879
3,MTA NYCT_3831_1,2018-04-06 17:12:22.248000-04:00,2,True,5,0,2,61942,15,5,1.79563291139
4,MTA NYCT_3831_1,2018-04-11 17:23:09.538000-04:00,2,True,3,0,2,62589,15,5,1.42904020752
5,MTA NYCT_3831_1,2018-04-12 16:39:22.533000-04:00,2,True,4,0,1,59962,15,5,3.78975806452
6,MTA NYCT_3832_1,2018-04-12 18:28:40-04:00,2,True,4,0,4,66520,15,5,3.28034482759
7,MTA NYCT_3833_1,2018-04-08 17:06:52-04:00,2,False,7,1,2,61612,15,5,2.09011160714
8,MTA NYCT_3833_1,2018-04-09 17:14:55-04:00,2,True,1,0,2,62095,15,5,1.7953078203
9,MTA NYCT_3833_1,2018-04-11 18:01:23-04:00,2,True,3,0,4,64883,15,5,2.28392771084
10,MTA NYCT_3833_1,2018-04-12 17:44:30-04:00,2,True,4,0,3,63870,15,5,2.61775147929
11,MTA NYCT_3834_1,2018-04-07 17:03:34-04:00,2,False,6,1,2,61414,15,5,2.3202184466
12,MTA NYCT_3834_1,2018-04-09 18:21:55-04:00,2,True,1,0,4,66115,15,5,1.74288718929
13,MTA NYCT_3834_2,2018-04-07 19:54:22-04:00,2,False,6,1,7,71662,15,5,3.31782101167
14,MTA NYCT_3835_1,2018-04-09 18:14:12-04:00,2,True,1,0,4,65652,15,5,4.72215384615
15,MTA NYCT_3837_1,2018-04-06 17:34:39-04:00,2,True,5,0,3,63279,15,5,2.02037037037
16,MTA NYCT_3837_1,2018-04-07 19:06:42-04:00,2,False,6,1,6,68802,15,5,2.22624444444
17,MTA NYCT_3837_1,2018-04-08 16:07:55-04:00,2,False,7,1,0,58075,15,5,1.9810251046
18,MTA NYCT_3837_1,2018-04-09 16:00:10-04:00,2,True,1,0,0,57610,15,5,1.82492063492
19,MTA NYCT_3838_1,2018-04-06 16:18:26-04:00,2,True,5,0,0,58706,15,5,1.62188811189
20,MTA NYCT_3881_1,2018-04-07 18:21:01-04:00,2,False,6,1,4,66061,15,5,1.60290414878
21,MTA NYCT_3881_1,2018-04-09 17:20:24-04:00,2,True,1,0,2,62424,15,5,2.0368359375
