uid,Date,time,travelTime
1358481417,04-12-18,16:00:36,401
1358481505,04-12-18,16:00:41,412
1358481543,04-12-18,16:00:44,390
1358481619,04-12-18,16:00:48,325
1358481663,04-12-18,16:00:51,393
1358482675,04-12-18,16:01:58,455
1358482745,04-12-18,16:02:02,403
1358482778,04-12-18,16:02:04,381
1358482864,04-12-18,16:02:10,452
1358482983,04-12-18,16:02:17,353
1358482993,04-12-18,16:02:18,775
1358483117,04-12-18,16:02:27,340
1358484057,04-12-18,16:03:37,380
1358484130,04-12-18,16:03:42,1502
1358485456,04-12-18,16:05:11,508
1358485481,04-12-18,16:05:13,482
1358485505,04-12-18,16:05:15,298
1358485535,04-12-18,16:05:17,320
1358485664,04-12-18,16:05:26,272
1358486628,04-12-18,16:06:29,390
1358486886,04-12-18,16:06:47,582
1358486959,04-12-18,16:06:53,327
1358487891,04-12-18,16:07:57,643
1358487938,04-12-18,16:08:00,305
1358487976,04-12-18,16:08:02,304
1358488100,04-12-18,16:08:10,395
1358488331,04-12-18,16:08:26,255
1358489260,04-12-18,16:09:32,375
1358489475,04-12-18,16:09:49,294
1358490544,04-12-18,16:11:00,341
1358490533,04-12-18,16:11:00,305
1358490808,04-12-18,16:11:19,305
1358490830,04-12-18,16:11:21,324
1358491816,04-12-18,16:12:35,375
1358491943,04-12-18,16:12:43,295
1358492128,04-12-18,16:12:57,413
1358493067,04-12-18,16:14:03,405
1358493292,04-12-18,16:14:19,427
1358493354,04-12-18,16:14:22,367
1358494437,04-12-18,16:15:43,407
1358494533,04-12-18,16:15:50,313
1358495630,04-12-18,16:17:02,408
1358495863,04-12-18,16:17:18,326
1358495892,04-12-18,16:17:20,392
1358495886,04-12-18,16:17:20,390
1358495924,04-12-18,16:17:23,308
1358496895,04-12-18,16:18:31,402
1358497155,04-12-18,16:18:49,385
1358497248,04-12-18,16:18:55,396
1358498156,04-12-18,16:19:56,383
1358498217,04-12-18,16:20:00,850
1358498266,04-12-18,16:20:03,390
1358498515,04-12-18,16:20:19,330
1358499583,04-12-18,16:21:29,787
1358499896,04-12-18,16:21:54,395
1358499924,04-12-18,16:21:57,404
1358500930,04-12-18,16:22:58,468
1358501142,04-12-18,16:23:11,510
1358501380,04-12-18,16:23:30,412
1358502290,04-12-18,16:24:29,372
1358502330,04-12-18,16:24:31,462
1358502501,04-12-18,16:24:43,481
1358502546,04-12-18,16:24:46,397
1358502639,04-12-18,16:24:53,666
1358502704,04-12-18,16:24:58,341
1358503601,04-12-18,16:25:58,391
1358503696,04-12-18,16:26:04,404
1358503767,04-12-18,16:26:09,336
1358503845,04-12-18,16:26:14,1524
1358503992,04-12-18,16:26:24,493
1358505008,04-12-18,16:27:38,462
1358505063,04-12-18,16:27:42,508
1358505176,04-12-18,16:27:48,393
1358505269,04-12-18,16:27:55,522
1358506409,04-12-18,16:29:06,397
1358506434,04-12-18,16:29:08,395
1358506454,04-12-18,16:29:10,476
1358506702,04-12-18,16:29:28,684
1358507645,04-12-18,16:30:30,370
1358507908,04-12-18,16:30:46,415
1358508010,04-12-18,16:30:53,424
1358508078,04-12-18,16:30:58,393
1358509316,04-12-18,16:32:16,395
1358510770,04-12-18,16:33:58,669
1358511728,04-12-18,16:34:57,485
1358511775,04-12-18,16:35:00,484
1358511808,04-12-18,16:35:02,375
1358512034,04-12-18,16:35:18,330
1358512067,04-12-18,16:35:20,303
1358512081,04-12-18,16:35:21,417
1358512203,04-12-18,16:35:30,344
1358513196,04-12-18,16:36:30,560
1358513229,04-12-18,16:36:32,409
1358513252,04-12-18,16:36:33,367
1358513588,04-12-18,16:36:56,364
1358513611,04-12-18,16:36:58,362
1358514560,04-12-18,16:38:02,407
1358514696,04-12-18,16:38:11,385
1358514745,04-12-18,16:38:14,401
1358515916,04-12-18,16:39:28,463
1358515946,04-12-18,16:39:29,675
1358516074,04-12-18,16:39:39,399
1358516219,04-12-18,16:39:49,728
1358516267,04-12-18,16:39:52,415
1358516297,04-12-18,16:39:54,401
1358517349,04-12-18,16:40:58,1066
1358517542,04-12-18,16:41:11,470
1358517642,04-12-18,16:41:18,452
1358517654,04-12-18,16:41:19,323
1358517714,04-12-18,16:41:23,419
1358518878,04-12-18,16:42:35,1692
1358519093,04-12-18,16:42:50,306
1358520120,04-12-18,16:43:59,301
1358520232,04-12-18,16:44:06,379
1358520554,04-12-18,16:44:27,392
1358520575,04-12-18,16:44:29,311
1358521453,04-12-18,16:45:28,385
1358521465,04-12-18,16:45:29,378
1358521558,04-12-18,16:45:36,375
1358521597,04-12-18,16:45:38,314
1358521755,04-12-18,16:45:50,388
1358521894,04-12-18,16:46:00,430
1358521901,04-12-18,16:46:01,333
1358522928,04-12-18,16:47:02,376
1358522992,04-12-18,16:47:06,382
1358522990,04-12-18,16:47:06,411
1358523025,04-12-18,16:47:08,387
1358524261,04-12-18,16:48:32,386
1358524287,04-12-18,16:48:33,375
1358524462,04-12-18,16:48:45,394
1358524503,04-12-18,16:48:47,316
1358524531,04-12-18,16:48:49,324
1358524537,04-12-18,16:48:49,369
1358525728,04-12-18,16:50:07,315
1358525798,04-12-18,16:50:11,291
1358525873,04-12-18,16:50:15,314
1358526154,04-12-18,16:50:34,248
1358527072,04-12-18,16:51:34,299
1358527105,04-12-18,16:51:37,340
1358527145,04-12-18,16:51:40,308
1358527199,04-12-18,16:51:44,291
1358527377,04-12-18,16:51:55,279
1358527410,04-12-18,16:51:57,240
1358527491,04-12-18,16:52:03,289
1358528753,04-12-18,16:53:19,246
1358528944,04-12-18,16:53:32,249
1358530321,04-12-18,16:54:59,319
1358531236,04-12-18,16:56:01,407
1358531273,04-12-18,16:56:03,372
1358531363,04-12-18,16:56:10,327
1358532578,04-12-18,16:57:34,403
1358532857,04-12-18,16:57:56,404
1358532943,04-12-18,16:58:01,348
1358534083,04-12-18,16:59:17,308
1358535454,04-12-18,17:00:47,302
1358536575,04-12-18,17:02:02,347
1358536627,04-12-18,17:02:05,373
1358537916,04-12-18,17:03:31,377
1358537935,04-12-18,17:03:32,405
1358537984,04-12-18,17:03:37,392
1358538130,04-12-18,17:03:48,388
1358538221,04-12-18,17:03:54,397
1358539358,04-12-18,17:05:08,402
1358539486,04-12-18,17:05:18,402
1358539633,04-12-18,17:05:28,429
1358540586,04-12-18,17:06:29,453
1358540600,04-12-18,17:06:30,455
1358540695,04-12-18,17:06:36,550
1358540992,04-12-18,17:06:56,493
1358543465,04-12-18,17:09:36,386
1358543679,04-12-18,17:09:51,403
1358544832,04-12-18,17:11:09,438
1358544837,04-12-18,17:11:09,300
1358544872,04-12-18,17:11:12,400
1358544924,04-12-18,17:11:15,468
1358544963,04-12-18,17:11:17,324
1358545002,04-12-18,17:11:20,305
1358546143,04-12-18,17:12:35,424
1358546393,04-12-18,17:12:52,545
1358546427,04-12-18,17:12:54,342
1358546515,04-12-18,17:12:59,318
1358546535,04-12-18,17:13:01,320
1358547541,04-12-18,17:14:09,303
1358548804,04-12-18,17:15:35,395
1358548818,04-12-18,17:15:36,319
1358549033,04-12-18,17:15:52,302
1358550091,04-12-18,17:17:08,373
1358550123,04-12-18,17:17:10,358
1358551232,04-12-18,17:18:29,367
1358551255,04-12-18,17:18:30,368
1358551273,04-12-18,17:18:32,363
1358551291,04-12-18,17:18:33,367
1358551479,04-12-18,17:18:44,1573
1358551619,04-12-18,17:18:54,394
1358551708,04-12-18,17:19:00,1447
1358551731,04-12-18,17:19:02,233
1358551737,04-12-18,17:19:02,281
1358552526,04-12-18,17:19:59,303
1358552622,04-12-18,17:20:05,1286
1358552785,04-12-18,17:20:17,406
1358553027,04-12-18,17:20:31,436
1358553913,04-12-18,17:21:31,494
1358553965,04-12-18,17:21:35,313
1358554328,04-12-18,17:22:01,252
1358554339,04-12-18,17:22:02,258
1358555313,04-12-18,17:23:00,296
1358555526,04-12-18,17:23:16,361
1358555554,04-12-18,17:23:17,306
1358555589,04-12-18,17:23:20,320
1358555614,04-12-18,17:23:21,305
1358555627,04-12-18,17:23:22,320
1358555649,04-12-18,17:23:24,326
1358556033,04-12-18,17:23:52,795
1358557045,04-12-18,17:24:52,416
1358557193,04-12-18,17:25:02,349
1358558443,04-12-18,17:26:24,420
1358558467,04-12-18,17:26:25,306
1358559482,04-12-18,17:27:30,363
1358559485,04-12-18,17:27:30,369
1358559637,04-12-18,17:27:41,307
1358559716,04-12-18,17:27:48,358
1358559751,04-12-18,17:27:50,309
1358559824,04-12-18,17:27:55,324
1358559844,04-12-18,17:27:56,393
1358559871,04-12-18,17:27:58,1149
1358560889,04-12-18,17:29:02,374
1358560917,04-12-18,17:29:03,441
1358561063,04-12-18,17:29:15,298
1358561121,04-12-18,17:29:20,213
1358561167,04-12-18,17:29:23,313
1358561219,04-12-18,17:29:27,304
1358561314,04-12-18,17:29:33,243
1358562252,04-12-18,17:30:34,341
1358562283,04-12-18,17:30:36,338
1358562433,04-12-18,17:30:45,324
1358562500,04-12-18,17:30:50,266
1358562496,04-12-18,17:30:50,233
1358562528,04-12-18,17:30:52,311
1358563873,04-12-18,17:32:21,281
1358563905,04-12-18,17:32:23,391
1358565107,04-12-18,17:33:47,376
1358565190,04-12-18,17:33:53,299
1358565214,04-12-18,17:33:55,225
1358565287,04-12-18,17:33:59,267
1358566513,04-12-18,17:35:20,221
1358566539,04-12-18,17:35:22,222
1358566552,04-12-18,17:35:23,402
1358566547,04-12-18,17:35:23,307
1358566878,04-12-18,17:35:48,238
1358567671,04-12-18,17:36:36,377
1358567674,04-12-18,17:36:37,300
1358567759,04-12-18,17:36:42,292
1358567924,04-12-18,17:36:55,296
1358567967,04-12-18,17:36:58,236
1358568920,04-12-18,17:38:04,312
1358569136,04-12-18,17:38:17,300
1358569234,04-12-18,17:38:24,427
1358569275,04-12-18,17:38:27,235
1358570260,04-12-18,17:39:31,585
1358570623,04-12-18,17:39:56,231
1358571582,04-12-18,17:41:00,544
1358571855,04-12-18,17:41:18,299
1358571963,04-12-18,17:41:27,226
1358572931,04-12-18,17:42:30,647
1358572978,04-12-18,17:42:33,368
1358573367,04-12-18,17:42:58,236
1358573379,04-12-18,17:42:59,305
1358574281,04-12-18,17:44:00,458
1358574340,04-12-18,17:44:03,298
1358574414,04-12-18,17:44:08,297
1358574559,04-12-18,17:44:16,274
1358574600,04-12-18,17:44:20,235
1358574683,04-12-18,17:44:26,306
1358575619,04-12-18,17:45:29,295
1358575702,04-12-18,17:45:34,294
1358575962,04-12-18,17:45:52,236
1358576022,04-12-18,17:45:56,238
1358576056,04-12-18,17:45:59,251
1358577030,04-12-18,17:47:02,293
1358577064,04-12-18,17:47:04,1098
1358578417,04-12-18,17:48:30,309
1358578429,04-12-18,17:48:31,618
1358578528,04-12-18,17:48:38,837
1358578786,04-12-18,17:48:57,212
1358579813,04-12-18,17:50:03,320
1358580005,04-12-18,17:50:16,300
1358580114,04-12-18,17:50:22,309
1358580165,04-12-18,17:50:26,300
1358580177,04-12-18,17:50:27,251
1358580206,04-12-18,17:50:29,287
1358581161,04-12-18,17:51:32,312
1358581187,04-12-18,17:51:34,284
1358581338,04-12-18,17:51:45,434
1358581360,04-12-18,17:51:47,289
1358581426,04-12-18,17:51:52,298
1358581482,04-12-18,17:51:55,356
1358582577,04-12-18,17:53:06,287
1358582770,04-12-18,17:53:19,328
1358582827,04-12-18,17:53:23,321
1358582888,04-12-18,17:53:27,313
1358582929,04-12-18,17:53:31,256
1358583853,04-12-18,17:54:30,288
1358583948,04-12-18,17:54:37,557
1358583992,04-12-18,17:54:40,305
1358584171,04-12-18,17:54:52,230
1358584237,04-12-18,17:54:58,434
1358585173,04-12-18,17:56:00,290
1358585604,04-12-18,17:56:29,238
1358586839,04-12-18,17:57:51,234
1358586908,04-12-18,17:57:55,219
1358586936,04-12-18,17:57:56,238
1358587991,04-12-18,17:59:02,279
1358587999,04-12-18,17:59:03,248
1358588207,04-12-18,17:59:18,238
1358588259,04-12-18,17:59:23,230
1358588337,04-12-18,17:59:29,242
1358589499,04-12-18,18:00:51,277
1358589527,04-12-18,18:00:53,364
1358589539,04-12-18,18:00:54,233
1358590494,04-12-18,18:02:03,470
1358590685,04-12-18,18:02:15,289
1358590854,04-12-18,18:02:25,210
1358590870,04-12-18,18:02:26,224
1358590964,04-12-18,18:02:33,234
1358591816,04-12-18,18:03:29,273
1358591850,04-12-18,18:03:31,308
1358592013,04-12-18,18:03:42,285
1358592123,04-12-18,18:03:50,271
1358592148,04-12-18,18:03:51,299
1358592233,04-12-18,18:03:55,227
1358593331,04-12-18,18:05:05,295
1358593496,04-12-18,18:05:18,202
1358593610,04-12-18,18:05:25,222
1358594799,04-12-18,18:06:47,287
1358594862,04-12-18,18:06:52,223
1358594952,04-12-18,18:07:00,225
1358596092,04-12-18,18:08:14,300
1358596310,04-12-18,18:08:31,236
1358597195,04-12-18,18:09:30,284
1358597291,04-12-18,18:09:37,290
1358597435,04-12-18,18:09:50,243
1358597523,04-12-18,18:09:56,238
1358597585,04-12-18,18:10:01,225
1358598593,04-12-18,18:11:03,222
1358598727,04-12-18,18:11:11,232
1358598782,04-12-18,18:11:15,230
1358598820,04-12-18,18:11:18,206
1358599543,04-12-18,18:12:10,225
1358599921,04-12-18,18:12:36,307
1358600134,04-12-18,18:12:51,229
1358600155,04-12-18,18:12:53,273
1358600230,04-12-18,18:12:58,234
1358600553,04-12-18,18:13:24,1300
1358601274,04-12-18,18:14:08,282
1358601404,04-12-18,18:14:16,243
1358601450,04-12-18,18:14:19,214
1358601496,04-12-18,18:14:23,239
1358601560,04-12-18,18:14:27,221
1358602572,04-12-18,18:15:38,322
1358602601,04-12-18,18:15:40,225
1358602748,04-12-18,18:15:51,216
1358602771,04-12-18,18:15:53,211
1358602787,04-12-18,18:15:55,161
