Timestamp,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber,VehicleDistanceAlongRoute
2018-04-12 16:00:07-04:00,233.8172,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54360_M7-208,7282.37,2018-04-12,MTA NYCT_OF_B8-Weekday-SDon-090900_M7_208,E VILLAGE 8 ST via 5 AV,MTA_403793,1,103.23,2018-04-12T16:01:17.681-04:00,2018-04-12T16:01:17.681-04:00,MTA_M010186,40.768142,MTA NYCT_M1,-73.97019399999999,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-12T16:00:07.000-04:00,5 AV/E 63 ST,MTA_400127,0,MTA NYCT_6760,1,7179.14
2018-04-12 16:00:07-04:00,233.8172,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54360_M7-208,7282.37,2018-04-12,MTA NYCT_OF_B8-Weekday-SDon-090900_M7_208,E VILLAGE 8 ST via 5 AV,MTA_403793,1,103.23,2018-04-12T16:01:17.681-04:00,2018-04-12T16:01:17.681-04:00,MTA_M010186,40.768142,MTA NYCT_M1,-73.97019399999999,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-12T16:00:07.000-04:00,5 AV/E 63 ST,MTA_400127,0,MTA NYCT_6760,1,7179.14
2018-04-12 16:00:21-04:00,233.63779,MTA NYCT_OF_B8-Weekday-SDon_E_OF_18120_M1-102,7653.54,2018-04-12,MTA NYCT_OF_B8-Weekday-SDon-088600_M7_225,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,85.96,2018-04-12T16:01:07.669-04:00,2018-04-12T16:01:07.669-04:00,MTA_M010187,40.765082,MTA NYCT_M1,-73.97241700000001,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-12T16:00:21.000-04:00,5 AV/W  59 ST,MTA_400512,0,MTA NYCT_6769,1,7567.58
2018-04-12 16:00:25-04:00,233.63779,MTA NYCT_OF_B8-Weekday-SDon_E_OF_20820_M1-105,7653.54,2018-04-12,MTA NYCT_OF_B8-Weekday-SDon-089200_M1_140,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,93.12,2018-04-12T16:01:15.558-04:00,2018-04-12T16:01:15.558-04:00,MTA_M010187,40.765138,MTA NYCT_M1,-73.972376,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-12T16:00:25.000-04:00,5 AV/W  59 ST,MTA_400512,0,MTA NYCT_6784,1,7560.42
2018-04-12 16:00:28-04:00,234.07584,MTA NYCT_OF_B8-Weekday-SDon_E_OF_52620_M7-205,8468.14,2018-04-12,MTA NYCT_OF_B8-Weekday-SDon-088000_M7_205,E VILLAGE 8 ST via 5 AV,MTA_403793,1,117.44,2018-04-12T16:01:43.511-04:00,2018-04-12T16:01:43.511-04:00,MTA_M010186,40.758921,MTA NYCT_M1,-73.976923,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-12T16:00:28.000-04:00,5 AV/W 49 ST,MTA_400515,0,MTA NYCT_6759,1,8350.699999999999
2018-04-12 16:00:28-04:00,233.89742,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54060_M1-105,6718.93,2018-04-12,MTA NYCT_OF_B8-Weekday-SDon-090400_M1_105,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,283.39,2018-04-12T16:01:57.383-04:00,2018-04-12T16:01:57.383-04:00,MTA_M010187,40.773990999999995,MTA NYCT_M1,-73.965913,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-12T16:00:28.000-04:00,5 AV/E 72 ST,MTA_400124,0,MTA NYCT_6779,1,6435.54
2018-04-12 16:00:29-04:00,234.03671,MTA NYCT_OF_B8-Weekday-SDon_E_OF_28980_M7-204,8227.92,2018-04-12,MTA NYCT_OF_B8-Weekday-SDon-089800_M7_207,E VILLAGE 8 ST via 5 AV,MTA_403793,1,7.14,2018-04-12T16:00:41.902-04:00,2018-04-12T16:00:41.902-04:00,MTA_M010186,40.759943,MTA NYCT_M1,-73.976174,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-12T16:00:29.000-04:00,5 AV/W 53 ST,MTA_400514,0,MTA NYCT_6770,1,8220.78
2018-04-12 16:00:31-04:00,233.51276000000001,,5169.49,2018-04-12,MTA NYCT_OF_B8-Weekday-SDon-092400_M1_113,E VILLAGE 8 ST via 5 AV,MTA_403793,1,145.78,2018-04-12T16:01:23.223-04:00,2018-04-12T16:01:23.223-04:00,MTA_M010186,40.785106,MTA NYCT_M1,-73.957809,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-12T16:00:31.000-04:00,5 AV/EAST 90 ST,MTA_400117,0,MTA NYCT_6777,1,5023.71
2018-04-12 16:00:38-04:00,233.8172,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54360_M7-208,7282.37,2018-04-12,MTA NYCT_OF_B8-Weekday-SDon-090900_M7_208,E VILLAGE 8 ST via 5 AV,MTA_403793,1,101.45,2018-04-12T16:01:47.462-04:00,2018-04-12T16:01:47.462-04:00,MTA_M010186,40.768128000000004,MTA NYCT_M1,-73.97020400000001,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-12T16:00:38.000-04:00,5 AV/E 63 ST,MTA_400127,0,MTA NYCT_6760,1,7180.92
2018-04-12 16:00:45-04:00,233.9537,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54660_M1-146,4982.98,2018-04-12,MTA NYCT_OF_B8-Weekday-SDon-091400_M1_146,E VILLAGE 8 ST via 5 AV,MTA_403793,1,126.24,2018-04-12T16:01:36.070-04:00,2018-04-12T16:01:36.070-04:00,MTA_M010186,40.786421000000004,MTA NYCT_M1,-73.95685,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-12T16:00:45.000-04:00,5 AV/EAST 92 ST,MTA_400116,0,MTA NYCT_3900,1,4856.74
