,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
0,53.738728,MTA NYCT_OF_B8-Saturday_A_OF_46860_M1-110,10541.45,2018-04-07,MTA NYCT_OF_B8-Saturday-087900_M1_110,HARLEM 147 ST via MADISON,MTA_803003,0,4.02,2018-04-07T15:46:21.445-04:00,2018-04-07T15:46:21.445-04:00,MTA_M010182,40.803492,MTA NYCT_M1,-73.942348,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-07T15:46:13.000-04:00,MADISON AV/E 121 ST,MTA_403980,0,MTA NYCT_6771,1
1,233.55556,MTA NYCT_OF_B8-Saturday_A_OF_24600_M1-111,7282.37,2018-04-07,MTA NYCT_OF_B8-Saturday-090300_M1_119,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,7.7,2018-04-07T15:46:21.445-04:00,2018-04-07T15:46:21.445-04:00,MTA_M010187,40.767387,MTA NYCT_M1,-73.970733,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-07T15:45:47.000-04:00,5 AV/E 63 ST,MTA_400127,0,MTA NYCT_6778,1
2,49.81856,MTA NYCT_OF_B8-Saturday_A_OF_39480_M1-121,1151.34,2018-04-07,MTA NYCT_OF_B8-Saturday-092900_M1_121,HARLEM 147 ST via MADISON,MTA_803003,0,8.78,2018-04-07T15:46:21.445-04:00,2018-04-07T15:46:21.445-04:00,MTA_M010182,40.729729,MTA NYCT_M1,-73.991574,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-07T15:46:00.000-04:00,LAFAYETTE ST/ASTOR PL,MTA_400086,0,MTA NYCT_6761,1
3,233.93703,MTA NYCT_OF_B8-Saturday_A_OF_52260_M1-114,9554.96,2018-04-07,MTA NYCT_OF_B8-Saturday-087400_M1_114,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,10.36,2018-04-07T15:46:21.445-04:00,2018-04-07T15:46:21.445-04:00,MTA_M010187,40.74952,MTA NYCT_M1,-73.98377,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-07T15:46:09.000-04:00,5 AV/W 36 ST,MTA_400323,0,MTA NYCT_3888,1
4,234.21103,MTA NYCT_OF_B8-Saturday_A_OF_35400_M1-102,133.41,2018-04-07,MTA NYCT_OF_B8-Saturday-094300_M1_140,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,11.03,,,MTA_M010187,40.820217,MTA NYCT_M1,-73.936493,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-07T15:46:10.000-04:00,MALCOLM X BL/W 145 ST,MTA_400088,0,MTA NYCT_3903,1
5,234.14165,MTA NYCT_OF_B8-Saturday_A_OF_31740_M1-106,9805.01,2018-04-07,MTA NYCT_OF_B8-Saturday-088200_M1_134,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,17.13,2018-04-07T15:46:21.445-04:00,2018-04-07T15:46:21.445-04:00,MTA_M010187,40.747606,MTA NYCT_M1,-73.985168,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-07T15:46:10.000-04:00,5 AV/W 33 ST,MTA_400324,0,MTA NYCT_3881,1
6,54.211025,MTA NYCT_OF_B8-Saturday_A_OF_28440_M1-115,4733.54,2018-04-07,MTA NYCT_OF_B8-Saturday-089000_M1_132,HARLEM 147 ST via MADISON,MTA_803003,0,18.25,2018-04-07T15:46:22.623-04:00,2018-04-07T15:46:22.623-04:00,MTA_M010182,40.757646,MTA NYCT_M1,-73.975744,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-07T15:46:17.000-04:00,MADISON AV/E 49 ST,MTA_400360,0,MTA NYCT_3901,1
7,54.05167,MTA NYCT_OF_B8-Saturday_A_OF_14220_M1-102,3177.69,2018-04-07,MTA NYCT_OF_B8-Saturday-092100_M1_133,HARLEM 147 ST via MADISON,MTA_803003,0,33.3,2018-04-07T15:46:27.148-04:00,2018-04-07T15:46:27.148-04:00,MTA_M010182,40.745281,MTA NYCT_M1,-73.984764,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-07T15:46:12.000-04:00,MADISON AV/E 30 ST,MTA_400352,0,MTA NYCT_6784,1
8,234.17708,MTA NYCT_OF_B8-Saturday_A_OF_42480_M1-128,6718.93,2018-04-07,MTA NYCT_OF_B8-Saturday-089300_M1_139,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,68.14,2018-04-07T15:46:21.445-04:00,2018-04-07T15:46:21.445-04:00,MTA_M010187,40.772298,MTA NYCT_M1,-73.967154,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T15:46:01.000-04:00,5 AV/E 72 ST,MTA_400124,0,MTA NYCT_6764,1
9,232.8509,MTA NYCT_OF_B8-Saturday_A_OF_16020_M1-104,10607.63,2018-04-07,MTA NYCT_OF_B8-Saturday-086300_M1_117,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,137.92,2018-04-07T15:46:45.555-04:00,2018-04-07T15:46:45.555-04:00,MTA_M010187,40.742228,MTA NYCT_M1,-73.98905,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T15:45:55.000-04:00,5 AV/W 23 ST,MTA_400329,0,MTA NYCT_6783,1
