,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
0,233.96758,MTA NYCT_OF_B8-Sunday_D_OF_46980_M1-135,1270.21,2018-04-08,MTA NYCT_OF_B8-Sunday-095000_M1_135,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,78.52,2018-04-08T15:59:57.872-04:00,2018-04-08T15:59:57.872-04:00,MTA_M010187,40.812941,MTA NYCT_M1,-73.937494,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T15:59:34.000-04:00,5 AV/W 135 ST,MTA_400094,0,MTA NYCT_6765,1
1,229.74745,MTA NYCT_OF_B8-Sunday_D_OF_24600_M1-110,13146.47,2018-04-08,MTA NYCT_OF_B8-Sunday-088000_M1_112,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,84.64,2018-04-08T15:59:59.484-04:00,2018-04-08T15:59:59.484-04:00,MTA_M010187,40.723448,MTA NYCT_M1,-73.998451,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T15:59:24.000-04:00,BROADWAY/SPRING ST,MTA_400157,0,MTA NYCT_6770,1
2,53.859947,MTA NYCT_OF_B8-Sunday_D_OF_49680_M1-127,6777.09,2018-04-08,MTA NYCT_OF_B8-Sunday-092000_M1_127,HARLEM 147 ST via MADISON,MTA_803003,0,88.35,2018-04-08T16:00:06.004-04:00,2018-04-08T16:00:06.004-04:00,MTA_M010182,40.773181,MTA NYCT_M1,-73.964414,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T15:59:38.833-04:00,MADISON AV/E 75 ST,MTA_405392,0,MTA NYCT_3831,1
3,53.66612,MTA NYCT_OF_B8-Sunday_D_OF_21660_M1-106,12008.91,2018-04-08,MTA NYCT_OF_B8-Sunday-089500_M1_136,HARLEM 147 ST via MADISON,MTA_803003,0,89.17,2018-04-08T16:00:06.433-04:00,2018-04-08T16:00:06.433-04:00,MTA_M010182,40.813803,MTA NYCT_M1,-73.936864,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T15:59:47.000-04:00,5 AV/E 138 ST,MTA_400060,0,MTA NYCT_6776,1
4,233.77274,MTA NYCT_OF_B8-Sunday_D_OF_17760_M1-102,7444.01,2018-04-08,MTA NYCT_OF_B8-Sunday-092000_M1_138,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,92.37,2018-04-08T16:00:24.510-04:00,2018-04-08T16:00:24.510-04:00,MTA_M010187,40.766781,MTA NYCT_M1,-73.971177,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T15:59:47.000-04:00,5 AV/E 62 ST,MTA_400128,0,MTA NYCT_6749,1
5,50.781116,MTA NYCT_OF_B8-Sunday_D_OF_31980_M1-117,558.22,2018-04-08,MTA NYCT_OF_B8-Sunday-095600_M1_129,HARLEM 147 ST via MADISON,MTA_803003,0,96.8,2018-04-08T16:00:21.544-04:00,2018-04-08T16:00:21.544-04:00,MTA_M010182,40.724508,MTA NYCT_M1,-73.995797,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T15:59:44.000-04:00,LAFAYETTE ST/E HOUSTON ST,MTA_400083,0,MTA NYCT_6783,1
6,53.841816,MTA NYCT_OF_B8-Sunday_D_OF_40740_M1-131,2598.94,2018-04-08,MTA NYCT_OF_B8-Sunday-094500_M1_128,HARLEM 147 ST via MADISON,MTA_803003,0,97.29,2018-04-08T16:00:19.283-04:00,2018-04-08T16:00:19.283-04:00,MTA_M010182,40.740781,MTA NYCT_M1,-73.985932,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T15:59:44.000-04:00,E 25 ST/PARK AV S,MTA_403316,0,MTA NYCT_6767,1
7,53.4637,MTA NYCT_OF_B8-Sunday_D_OF_19620_M1-104,13103.3,2018-04-08,MTA NYCT_OF_B8-Sunday-088100_M1_117,HARLEM 147 ST via MADISON,MTA_803003,0,98.89,2018-04-08T15:59:57.813-04:00,2018-04-08T15:59:57.813-04:00,MTA_M010182,40.821279,MTA NYCT_M1,-73.935614,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T15:59:29.000-04:00,W 147 ST/MALCOLM X BL,MTA_400066,0,MTA NYCT_6750,1
8,234.05466,MTA NYCT_OF_B8-Sunday_D_OF_53220_M1-137,11055.02,2018-04-08,MTA NYCT_OF_B8-Sunday-089000_M1_137,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,116.05,2018-04-08T16:00:12.380-04:00,2018-04-08T16:00:12.380-04:00,MTA_M010187,40.738546,MTA NYCT_M1,-73.991767,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T15:59:51.000-04:00,5 AV/W 17 ST,MTA_400331,0,MTA NYCT_6779,1
9,53.96758,MTA NYCT_OF_B8-Sunday_D_OF_39180_M1-129,8628.75,2018-04-08,MTA NYCT_OF_B8-Sunday-090700_M1_110,HARLEM 147 ST via MADISON,MTA_803003,0,132.3,2018-04-08T16:00:36.909-04:00,2018-04-08T16:00:36.909-04:00,MTA_M010182,40.78741,MTA NYCT_M1,-73.954029,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T15:59:40.000-04:00,MADISON AV/E 98 ST,MTA_400041,0,MTA NYCT_3833,1
10,53.704723,MTA NYCT_OF_B8-Sunday_D_OF_23160_M1-108,4173.14,2018-04-08,MTA NYCT_OF_B8-Sunday-093100_M1_111,HARLEM 147 ST via MADISON,MTA_803003,0,132.57,2018-04-08T16:00:28.763-04:00,2018-04-08T16:00:28.763-04:00,MTA_M010182,40.752338,MTA NYCT_M1,-73.979625,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T15:59:45.000-04:00,MADISON AV/E 42 ST,MTA_400561,0,MTA NYCT_3891,1
